iteration,mean_reward,phase_error,altitude_error,anomaly,collision_penalty,coverage_penalty,fault_fraction,anomaly_event_fraction,actor_loss,critic_loss,entropy,approx_kl,clipfrac,explained_var,learning_rate
1,-0.46414077060762793,0.2906461401880738,0.0,0.0,0.0,0.0,0.0,0.0,-0.0018524957749132926,6.750347088544797,1.0962407711224678,0.0023365703691991093,0.007512019230769231,0.23538183119235467,0.0003
2,-0.5413201979827136,0.3423136856549546,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008031255744684201,2.0270499938573594,1.084256688753764,0.001987624101531811,0.005859375,-0.5682374982278147,0.00029797979797979794
3,-0.549085232662037,0.34954182077293966,0.0,0.0,0.0,0.0,0.0,0.0,-0.0020995542156295134,2.9628784350859814,1.0701261453139477,0.003867326653562486,0.025190304487179488,0.23503086914308868,0.00029595959595959595
4,-0.5721858884207904,0.366307831502671,0.0,0.0,0.0,0.0,0.0,0.0,-0.002676039008805767,4.21665743069771,1.0531966227751512,0.0033681276672257064,0.035807291666666664,-0.08875454801523786,0.0002939393939393939
5,-0.4563069985015318,0.288680007907722,0.0,0.0,0.0,0.0,0.0,0.0,-0.002161071026841035,1.519803062463418,1.0772009323804805,0.003396557384313872,0.027844551282051284,-0.09307017869832435,0.0002919191919191919
6,-0.5121573100332171,0.326536907465788,0.0,0.0,0.0,0.0,0.0,0.0,-1.96773893175981e-05,2.2423054621769833,1.0599337571706526,0.0005322089120268058,0.0,0.03953150883171386,0.0002898989898989899
7,-0.6426907433196902,0.41444873565622486,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013013715581156504,4.560393944764749,1.0761770926989043,0.002868074905843689,0.022886618589743588,-0.09301970656913516,0.00028787878787878786
8,-0.4850301091792062,0.30549165620552365,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007466229204183969,2.689635136188605,1.0933024424772997,0.000961486408367562,0.0,-0.0742058242862147,0.0002858585858585858
9,-0.5876686035189778,0.37400873468479273,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006596897072039354,2.50092984468509,1.0917015625880315,0.000946638944487159,0.0009014423076923077,0.08125701254768036,0.00028383838383838384
10,-0.8600066821090877,0.5566122428237104,0.0,0.0,0.0,0.0,0.0,0.0,-0.002032611853419206,4.760338233067439,1.0884921978681514,0.002059770222657766,0.006610576923076923,0.287438398184897,0.0002818181818181818
11,-0.5166542865335941,0.3265979973533008,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007051395920988841,1.8029502202302983,1.0850372039354765,0.00044148740692971606,0.0,0.047621191060240764,0.00027979797979797976
12,-0.48682442016433924,0.3063316733360909,0.0,0.0,0.0,0.0,0.0,0.0,-0.0016757696747588806,1.0209356057338226,1.083076984454424,0.0027351969948563822,0.014873798076923076,0.04067861894066982,0.0002777777777777778
13,-0.5720236042980105,0.36508323666934067,0.0,0.0,0.0,0.0,0.0,0.0,-0.002450829891201395,1.8489502362715893,1.0672441323598225,0.003338296002206894,0.020232371794871796,-0.002121229820462256,0.00027575757575757574
14,-0.5665108575485647,0.3630018407585256,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006028650185236564,2.4779556347773624,1.0736116537680993,0.002217961875244211,0.007011217948717949,0.1232657050390139,0.0002737373737373737
15,-0.4743603275856003,0.3001584727039167,0.0,0.0,0.0,0.0,0.0,0.0,2.7840577949507115e-05,1.625516387132498,1.079924919666388,0.00038236825285145105,0.0,0.11677249148265822,0.0002717171717171717
16,-0.561376141034998,0.35749235196437606,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006435412244919019,1.6681790779798458,1.0845517103488629,0.0010794186904930915,0.0,-0.004860746851846898,0.0002696969696969697
17,-0.5394979616394266,0.34481133272542785,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009608309363755278,2.2483647480989113,1.0556772916744916,0.0009382051827672583,0.00010016025641025641,0.18348262908465163,0.00026767676767676764
18,-0.4672259248327464,0.296222213184748,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008077884215312317,1.893790113620269,1.0668575641436455,0.0014276125211602985,0.00030048076923076925,0.14864877720660552,0.0002656565656565656
19,-0.4868926388444379,0.3069721024778354,0.0,0.0,0.0,0.0,0.0,0.0,-0.001383079681545496,1.3353927930196126,1.0778894210473084,0.001932538660744635,0.007111378205128205,0.07560163495642558,0.0002636363636363636
20,-0.586661460576579,0.3762819196955205,0.0,0.0,0.0,0.0,0.0,0.0,-0.0025029461592053757,2.5224100748697915,1.0223156825090065,0.0035411623360302588,0.05073116987179487,0.04298284767566951,0.0002616161616161616
21,-0.6347262649796903,0.4078333484045394,0.0,0.0,0.0,0.0,0.0,0.0,-0.0010512165474490477,3.6295691025562777,1.045284139804351,0.0017161454366615568,0.0037560096153846155,0.07264883898580143,0.0002595959595959596
22,-0.5109748879913241,0.3200377978202363,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007506329148339155,1.971782956367884,1.047470279228993,0.0015460990715580874,0.0018028846153846155,0.14564191868732956,0.00025757575757575756
23,-0.44372454925905913,0.27713984626020327,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006470212157672414,1.0844376729084895,1.0266395043104122,0.0017454813932999969,0.008163060897435898,-0.020312531856503613,0.00025555555555555553
24,-0.4954227851703763,0.3140683745664097,0.0,0.0,0.0,0.0,0.0,0.0,-0.0019061350299475284,2.2590409914652505,1.0491134111697857,0.0014506372211214441,0.003956330128205128,0.18914310073459017,0.0002535353535353535
25,-0.4564777226187289,0.284901870272378,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007868485722260979,2.116974720588097,1.0545919858492339,0.0023926148185124383,0.030749198717948716,0.06541131695756686,0.0002515151515151515
26,-0.3794752302346751,0.23441092622093213,0.0,0.0,0.0,0.0,0.0,0.0,-0.000635843061340543,0.7971349496107835,1.0703198237296863,0.0006435873040642876,0.00010016025641025641,0.12029122150059168,0.00024949494949494947
27,-0.4203423639992252,0.26306725051741486,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004616942650710161,1.4316924932675483,1.0558930176955004,0.0006421694191745841,0.0,0.10212817811374064,0.00024747474747474743
28,-0.45003399532288313,0.2836771379147689,0.0,0.0,0.0,0.0,0.0,0.0,0.00013011165608007176,2.052401194205651,1.0399364508115327,0.0007310067243778553,0.0,-0.010486447937876342,0.00024545454545454545
29,-0.4127560609485954,0.2568064792963556,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006945901251851749,1.3787012497584026,1.0769217747908373,0.0007286001032648178,0.0012520032051282052,0.00303912103802928,0.0002434343434343434
30,-0.44063351582735777,0.2768365431185776,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008484468532678408,1.3522556806221986,1.0607213729467146,0.0014884424461529423,0.004957932692307692,0.03879483652462601,0.0002414141414141414
31,-0.634517079568468,0.4086236601226119,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013186535618912715,4.497950615027012,1.02536425835047,0.002055776430867039,0.00946514423076923,0.1755908339713984,0.00023939393939393936
32,-0.5021018506959081,0.31821883260738537,0.0,0.0,0.0,0.0,0.0,0.0,-0.0017114711495546193,3.016363113354414,1.0489475176884577,0.0017263339951825447,0.007762419871794872,0.09474497275053673,0.00023737373737373735
33,-0.5027998082805425,0.31962002971810904,0.0,0.0,0.0,0.0,0.0,0.0,-0.0005439648953958964,1.664678191527342,1.004960304651505,0.0010642650304362178,0.003205128205128205,0.011474360891006175,0.00023535353535353531
34,-0.5591861800057814,0.36039473594063587,0.0,0.0,0.0,0.0,0.0,0.0,-0.0012213258454814935,3.0532264037009997,0.9587097855714651,0.001460873363658977,0.0035056089743589745,0.022069556315423622,0.00023333333333333333
35,-0.5101666762493551,0.32698514020816444,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008988533085450912,2.945796789267124,0.9432180921236674,0.002637479642334466,0.006360176282051282,-0.04397045094771368,0.0002313131313131313
36,-0.4006085320143029,0.25294556119447853,0.0,0.0,0.0,0.0,0.0,0.0,-0.00039613684519934346,1.1852679130358574,0.9933579411262121,0.0017162847231166102,0.005108173076923077,0.211726205973516,0.00022929292929292926
37,-0.3947265489259735,0.25045769577741067,0.0,0.0,0.0,0.0,0.0,0.0,-0.0008452561242171588,1.1305755713047125,0.9557121900411752,0.0016263916742247648,0.013521634615384616,0.08926494157102194,0.00022727272727272725
38,-0.4676480727503076,0.29885286618734413,0.0,0.0,0.0,0.0,0.0,0.0,-0.002420100741661512,2.507479484264667,0.9708866201914274,0.0024816710531759337,0.014072516025641026,0.17383406550695202,0.00022525252525252523
39,-0.37560928822495043,0.2341276745021451,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007617543451488018,1.672228755095066,1.020365372682229,0.0005062528085918763,0.002003205128205128,0.28113483019568364,0.00022323232323232322
40,-0.4393394850194454,0.277422422121359,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013405343589301293,1.3287109900743534,0.9787719020476708,0.0014958765196542328,0.009164663461538462,-0.08925402194615373,0.00022121212121212121
41,-0.507936735637486,0.32467330962752483,0.0,0.0,0.0,0.0,0.0,0.0,-0.0003871730086990656,2.807811492528671,0.9648473950532767,0.0017554769471574288,0.012720352564102564,0.10669635065483896,0.00021919191919191918
42,-0.4407993904314935,0.2787211723209485,0.0,0.0,0.0,0.0,0.0,0.0,-0.001364862844825555,2.3354202111562095,0.9995748385404929,0.003412780181791347,0.015574919871794872,-0.02796151466025143,0.00021717171717171714
43,-0.3721235445700586,0.2305808761822573,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009925388313161258,1.0805989381594536,1.015153475296803,0.0014076645856197828,0.0035556891025641025,0.027292805150463728,0.00021515151515151513
44,-0.35975474293809384,0.22172036336745385,0.0,0.0,0.0,0.0,0.0,0.0,-0.0006501782440747588,1.0463033410219045,1.0134578484755297,0.0016187709362174456,0.005959535256410256,0.14976834037546394,0.00021313131313131312
45,-0.33356745168566704,0.20489600798023133,0.0,0.0,0.0,0.0,0.0,0.0,-0.0013850242621862353,1.2531416416168213,1.0081831079262953,0.0019352056909925663,0.007512019230769231,-0.015481254915042264,0.00021111111111111108
46,-0.3019322499167174,0.18280896453190126,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004412170010021864,1.0657828740584545,1.0287071466445923,0.0006039593315038544,0.0009515224358974359,0.3087368213960584,0.00020909090909090907
