iteration,mean_reward,phase_error,altitude_error,anomaly,collision_penalty,coverage_penalty,fault_fraction,anomaly_event_fraction,actor_loss,critic_loss,entropy,approx_kl,clipfrac,explained_var,learning_rate
1,-0.36950041982345283,0.22465305746090455,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009606765526489763,4.760580628006546,1.094670470429476,0.0038538815049582687,0.007719494047619048,0.14992608439110267,0.0003
2,-0.6865626461803913,0.435925615760824,0.0,0.0,0.0,0.0,0.0,0.0,-0.00033417599406290467,4.532522958422464,1.0956356884941223,0.0016061531542430794,0.0006923776455026455,-0.07400114430604043,0.0002857142857142857
3,-0.7354668416082859,0.4693514145010393,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002448705170382425,2.06942120115593,1.0934025118590662,0.0013055337257880382,0.0031105324074074073,0.21117605582189858,0.0002714285714285714
4,-0.45670139603316784,0.28362831246112263,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007081536629123899,1.0606039295751581,1.0899867942093542,0.0024995655184808785,0.004019923941798942,0.18702880265966104,0.00025714285714285715
5,-0.8051067031919956,0.5154282308643822,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009381961137199252,3.25972054496644,1.0796413352249792,0.003206658571904338,0.008597883597883597,-0.12790735325771974,0.00024285714285714283
6,-0.7992917578667402,0.5106927129673657,0.0,0.0,0.0,0.0,0.0,0.0,-0.0002012110805562722,1.3960178049783858,1.0684294240184562,0.002299076673653588,0.004309275793650794,0.09119292195722384,0.00022857142857142857
7,-0.5999159347265959,0.37695840905909345,0.0,0.0,0.0,0.0,0.0,0.0,-0.0007509763214599203,1.2262989780890248,1.0728323989444308,0.0027704489381648796,0.005218667328042328,0.1674752487545641,0.00021428571428571427
8,-1.1607606019824743,0.7503959952884223,0.0,0.0,0.0,0.0,0.0,0.0,-0.0004950977428249581,3.4072694109861184,1.0744201153043718,0.0018992492998087848,0.0035238921957671957,-0.13032021247039083,0.00019999999999999998
9,-0.8654859543312341,0.5540551156487782,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009174327145542496,0.6945452179227557,1.0802614897016496,0.0018863418403145655,0.0119150958994709,0.060061554370753556,0.0001857142857142857
10,-0.6898956475779414,0.4371425781059236,0.0,0.0,0.0,0.0,0.0,0.0,-0.00042136228660604466,0.8410207033157349,1.080932653139508,0.0008953769707303277,0.0012710813492063492,0.24140803683389134,0.0001714285714285714
11,-1.0765900425612926,0.6950655198228259,0.0,0.0,0.0,0.0,0.0,0.0,-0.0009855825470011465,2.193467517378469,1.0818769799338446,0.0024988584050406066,0.007616154100529101,-0.021574408723283867,0.00015714285714285713
12,-0.5821730773895979,0.3653807644474034,0.0,0.0,0.0,0.0,0.0,0.0,-0.00047797173761797174,0.197720166078951,1.075723064639581,0.0011138162999438546,0.0032862103174603175,0.17169213534876904,0.00014285714285714284
13,-0.6129044704139233,0.38582109022254035,0.0,0.0,0.0,0.0,0.0,0.0,-6.0051150506648124e-05,0.6375767683225965,1.0801909411395039,0.0005593297987062701,0.0,0.17159468501676167,0.00012857142857142858
14,-0.8145907465368509,0.5202849480652761,0.0,0.0,0.0,0.0,0.0,0.0,-6.938628758742381e-05,1.3594036335667605,1.0867117504594188,0.00037886492880898965,0.0,-0.008252678262104407,0.00011428571428571426
15,-0.39668909925967455,0.24172821111320353,0.0,0.0,0.0,0.0,0.0,0.0,-9.46978285721449e-05,0.20286561012583434,1.0849628000663072,0.00017994535512847718,0.0,0.4490617431787324,9.999999999999999e-05
