iteration,mean_reward,phase_error,altitude_error,anomaly,collision_penalty,coverage_penalty,fault_fraction,anomaly_event_fraction,actor_loss,critic_loss,entropy
1,-2.819309613818276,1.6764749523576754,0.006271655605943565,1.26436061039567,0.0,1.0,0.0003124999930150807,0.11093749920837581,0.0026520786341279745,869.3022766113281,1.0878876944382985
2,-28.308690580561795,1.6081537036029296,0.006275167414430291,43.86344102025032,0.0,1.0,0.03062499943189323,0.14593750168569386,0.010405020865922173,105300.09440104167,1.0807047684987385
3,-22.80180973039244,1.415690476588889,0.006376302398499126,35.00784731656313,9.87684506981168e-06,1.0,0.022812499839346856,0.1190625005401671,-0.0022577717124174037,43140.547200520836,1.0787590444087982
4,-34.871148695334966,1.7167728802819175,0.006255846386170422,54.61822063103318,0.0,1.0,0.014374999678693712,0.12468749633990228,-0.0009256480067657927,183393.57942708334,1.0811086098353069
5,-19.139925950455645,1.5389943179448968,0.006333063429933567,28.69840857386589,0.0,1.0,0.025937499420251697,0.14625000162050128,0.013669173136198273,41304.875,1.0756104787190754
6,-4.87188185497934,1.4639302032607204,0.006373742519031024,5.043160440400243,0.0,1.0,0.00468749989522621,0.11499999952502549,0.01849167173107465,904.4976348876953,1.075744758049647
7,-22.820729608890097,1.7329880787356697,0.006275919887794085,34.50669934600592,0.0,1.0,0.015937499643769115,0.1262499976437539,0.007687917444854975,65608.23600260417,1.0690511067708333
8,-24.248138476611448,1.5369626797370006,0.006372168759103731,37.21178883314133,0.0,1.0,0.028437499364372343,0.14812500262632966,0.004350049188360572,56532.5078125,1.0566007097562153
9,-12.692962207113638,1.514425010721909,0.00634814844467044,17.993031641468406,0.00013100499927531928,1.0,0.014374999678693712,0.12187499785795808,0.0021023721201345325,8795.011840820312,1.0498881141344707
10,-18.642376191771664,1.7210810853039975,0.0062547495450514315,27.560667157173157,0.0,1.0,0.025624999427236617,0.13749999762512743,-0.01772480628763636,40947.472005208336,1.0480776925881703
11,-19.838207472620443,1.4701487263776496,0.006393830920440008,29.971558660268784,0.0002675818104762584,1.0,0.023749999469146132,0.13812500028871,-0.008997863818270465,36565.134114583336,1.0514378150304158
12,-11.09514105616776,1.5713804794039725,0.006322633343538231,15.232796724885702,0.0,1.0,0.014999999664723873,0.12281249836087227,0.005635575701793035,11997.901448567709,1.049668272336324
